Date, Open, High, Low, Close
11/21/22, 7158.3, 7174.4, 7131.7, 7139.3
11/18/22, 7138.3, 7166.2, 7137.7, 7151.8
11/17/22, 7107.1, 7146.9, 7107.0, 7135.7
11/16/22, 7142.3, 7142.5, 7102.9, 7122.2
11/15/22, 7133.5, 7144.0, 7114.2, 7141.6
11/14/22, 7183.2, 7196.5, 7146.3, 7146.3
11/11/22, 7000.1, 7170.6, 6997.8, 7158.0
11/10/22, 6986.0, 6988.1, 6954.5, 6964.0
11/09/22, 6969.3, 7012.4, 6967.9, 6999.3
11/08/22, 6939.6, 6968.0, 6939.6, 6958.9
11/07/22, 6917.1, 6943.4, 6907.7, 6933.7
11/04/22, 6860.6, 6895.0, 6829.6, 6892.5
11/03/22, 6953.1, 6953.1, 6823.0, 6857.9
11/02/22, 6980.8, 7011.7, 6978.8, 6986.7
11/01/22, 6866.5, 6976.9, 6858.2, 6976.9
10/31/22, 6786.7, 6869.2, 6786.7, 6863.5
10/28/22, 6827.0, 6827.0, 6776.0, 6785.7
10/27/22, 6829.6, 6873.8, 6824.3, 6845.1
10/26/22, 6809.0, 6843.2, 6800.8, 6810.9
10/25/22, 6780.4, 6831.3, 6780.4, 6798.6
10/24/22, 6716.5, 6823.3, 6716.5, 6779.4
10/21/22, 6726.6, 6726.6, 6667.6, 6676.8
10/20/22, 6783.3, 6783.3, 6702.1, 6730.7
10/19/22, 6778.4, 6822.2, 6777.5, 6800.1
10/18/22, 6685.3, 6790.7, 6685.3, 6779.2
10/17/22, 6758.9, 6758.9, 6645.2, 6664.4
10/14/22, 6668.6, 6772.6, 6667.8, 6758.8
10/13/22, 6641.9, 6683.7, 6638.9, 6642.6
10/12/22, 6647.8, 6672.0, 6633.0, 6647.5
10/11/22, 6685.5, 6712.5, 6645.0, 6645.0
10/10/22, 6750.3, 6750.3, 6646.8, 6667.8
10/07/22, 6805.1, 6806.4, 6762.7, 6762.8
10/06/22, 6815.6, 6828.3, 6787.4, 6817.5
10/05/22, 6719.6, 6819.7, 6719.4, 6815.7
10/04/22, 6486.5, 6699.3, 6486.5, 6699.3
10/03/22, 6485.6, 6503.5, 6411.9, 6456.9
09/30/22, 6563.2, 6563.2, 6460.6, 6474.2
09/29/22, 6488.4, 6594.7, 6488.4, 6555.0
09/28/22, 6510.6, 6516.5, 6433.1, 6462.0
09/27/22, 6483.0, 6509.5, 6472.5, 6496.2
09/26/22, 6541.5, 6544.6, 6435.6, 6469.4
09/23/22, 6707.3, 6709.0, 6544.9, 6574.7
09/21/22, 6786.6, 6786.6, 6695.0, 6700.2
09/20/22, 6743.8, 6808.3, 6740.8, 6806.4
09/19/22, 6738.3, 6753.9, 6714.7, 6719.9
09/16/22, 6825.1, 6825.7, 6736.3, 6739.1
09/15/22, 6831.0, 6878.1, 6831.0, 6842.9
09/14/22, 7008.2, 7008.2, 6808.6, 6828.6
09/13/22, 6974.7, 7015.2, 6974.0, 7009.7
09/12/22, 6923.9, 6974.9, 6922.0, 6964.5
09/09/22, 6858.8, 6898.5, 6853.2, 6894.2
09/08/22, 6731.6, 6848.7, 6731.6, 6848.7
09/07/22, 6820.1, 6821.2, 6719.6, 6729.3
09/06/22, 6858.0, 6888.5, 6826.1, 6826.5
09/05/22, 6836.4, 6858.0, 6822.8, 6852.2
09/02/22, 6827.1, 6854.9, 6820.5, 6828.7
09/01/22, 6924.9, 6926.7, 6836.5, 6845.6
08/31/22, 6971.4, 6995.0, 6937.5, 6986.8
08/30/22, 6968.3, 7020.0, 6967.6, 6998.3
08/29/22, 7077.6, 7079.1, 6943.2, 6965.5
08/26/22, 7060.8, 7130.0, 7060.7, 7104.1
08/25/22, 7000.5, 7057.7, 6992.0, 7048.1
08/24/22, 6979.4, 7013.7, 6977.8, 6998.1
08/23/22, 7049.5, 7049.5, 6961.8, 6961.8
08/22/22, 7098.9, 7098.9, 7031.7, 7046.9
08/19/22, 7115.6, 7137.5, 7107.9, 7114.5
08/18/22, 7118.7, 7118.7, 7081.0, 7112.8
08/17/22, 7122.0, 7130.5, 7082.9, 7127.7
08/16/22, 7083.0, 7131.6, 7083.0, 7105.4
08/15/22, 7041.3, 7076.0, 7040.4, 7064.3
08/12/22, 7065.9, 7066.1, 7012.1, 7032.5
08/11/22, 7009.6, 7077.1, 7009.6, 7071.0
08/10/22, 7029.0, 7029.7, 6985.7, 6992.7
08/09/22, 7012.8, 7034.3, 7012.8, 7029.8
08/08/22, 7011.2, 7025.9, 6985.8, 7020.6
